,Name,Rating,Position,Version,Price,Skills,Weak_Foot,Attack\Defense,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Height,Popularity,Base_Stats,Game_Stats,Agility,Balance,Marking,Positioning,Sprint_Speed,Vision,Finishing
0,Cristiano Ronaldo,94,LW,Normal,535K,5,4,H \ L,92,92,81,91,33,80,"185cm | 6'0""",347,469,-,90,63,22,LW,92,85,93
1,Messi,93,RW,Normal,320K,4,4,M \ M,89,90,86,96,26,61,"170cm | 5'6""",357,448,-,90,95,13,RW,87,90,95
2,Neuer,92,GK,Normal,48K,1,4,M \ M,89,90,95,89,58,91,"193cm | 6'3""",61,512,-,52,35,10,GK,61,70,13
3,Suárez,92,ST,Normal,101K,4,4,H \ M,82,90,79,87,42,79,"182cm | 5'11""",113,459,-,86,60,30,ST,77,84,94
4,Neymar,92,LW,Normal,140K,5,5,H \ M,91,84,78,95,30,56,"174cm | 5'8""",218,434,-,96,82,21,LW,90,80,89
5,Neymar,92,LW,Normal,271K,5,5,H \ M,91,84,78,95,30,56,"174cm | 5'8""",0,434,-,96,82,21,LW,90,80,89
6,Ibrahimovic,90,ST,Normal,71K,4,4,M \ L,72,90,81,85,31,86,"195cm | 6'4""",149,445,-,86,41,15,ST,74,83,90
7,Bale,90,RW,Normal,80K,4,3,H \ M,94,87,84,86,57,76,"183cm | 6'0""",188,484,-,77,65,51,RW,95,79,87
8,Boateng,90,CB,Normal,41K,2,4,M \ M,79,50,72,68,90,85,"192cm | 6'3""",107,444,-,58,54,91,CB,83,76,34
9,Lewandowski,90,ST,Normal,31.5K,3,4,M \ M,81,87,74,85,38,82,"185cm | 6'0""",135,447,-,78,79,25,ST,82,78,91
10,De Gea,90,GK,Normal,28K,1,3,M \ M,88,85,87,90,56,85,"193cm | 6'3""",131,491,-,57,43,13,GK,56,68,13
11,Agüero,89,ST,Normal,62K,4,4,H \ M,89,88,75,89,23,70,"172cm | 5'7""",183,434,-,86,90,13,ST,86,83,90
12,Sergio Ramos,89,CB,Normal,35K,3,3,H \ M,78,63,70,70,87,83,"183cm | 6'0""",101,451,-,80,60,85,CB,78,63,60
13,Thiago Silva,89,CB,Normal,17.25K,3,3,H \ H,74,57,73,73,90,79,"183cm | 6'0""",49,446,-,75,68,90,CB,76,74,38
14,Özil,89,CAM,Normal,16.25K,4,2,M \ L,72,74,86,86,24,58,"183cm | 6'0""",43,400,-,84,70,22,CAM,68,93,75
15,Modric,89,CM,Normal,19.5K,4,4,H \ M,74,75,86,89,72,66,"174cm | 5'8""",92,462,-,93,94,66,CM,71,90,71
16,Courtois,89,GK,Normal,12.5K,1,3,M \ M,84,91,69,89,46,86,"199cm | 6'6""",84,465,-,61,45,11,GK,52,44,14
17,Hazard,89,LW,Normal,48.75K,4,4,H \ M,90,82,83,92,32,65,"173cm | 5'8""",59,444,-,93,90,25,LW,87,87,80
18,Higuaín,89,ST,Normal,15K,3,4,H \ M,80,87,69,83,24,75,"184cm | 6'0""",13,418,-,74,60,12,ST,82,71,91
19,Boateng,89,CB,Normal,30.5K,2,4,M \ M,78,50,72,67,89,84,"192cm | 6'3""",16,440,-,57,53,89,CB,81,76,34
20,Iniesta,88,CM,Normal,16K,4,4,H \ M,73,72,87,90,59,60,"171cm | 5'7""",40,441,-,82,86,57,CM,73,94,73
