,Position,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Agility,Balance,Marking,Sprint_Speed,Vision,Finishing,Player_Height
0,2,92,92,81,91,33,80,90,63,22,92,85,93,185
3,1,82,90,79,87,42,79,86,60,30,77,84,94,182
6,1,72,90,81,85,31,86,86,41,15,74,83,90,195
7,2,94,87,84,86,57,76,77,65,51,95,79,87,183
9,1,81,87,74,85,38,82,78,79,25,82,78,91,185
12,5,78,63,70,70,87,83,80,60,85,78,63,60,183
13,5,74,57,73,73,90,79,75,68,90,76,74,38,183
14,2,72,74,86,86,24,58,84,70,22,68,93,75,183
17,2,90,82,83,92,32,65,93,90,25,87,87,80,173
19,5,78,50,72,67,89,84,57,53,89,81,76,34,192
20,3,73,72,87,90,59,60,82,86,57,73,94,73,171
24,4,68,56,82,84,86,64,82,93,86,68,82,47,170
25,5,74,46,53,58,90,85,61,69,92,78,50,33,187
26,1,80,87,68,82,24,74,74,60,12,82,70,91,184
29,3,45,80,88,79,69,70,70,62,63,37,88,75,182
30,2,90,81,82,91,32,64,92,90,25,87,86,80,173
35,1,86,84,79,88,40,78,90,87,30,84,82,85,169
41,3,66,84,86,82,59,66,71,66,52,65,87,83,184
42,5,64,58,74,71,88,77,64,58,85,65,79,55,191
43,3,77,81,80,79,84,84,75,77,76,76,80,77,180
46,2,86,82,79,88,39,74,90,87,30,84,82,83,169
47,3,42,59,79,74,83,81,58,55,83,33,85,60,189
48,1,78,83,77,78,46,72,77,72,31,79,81,89,186
49,4,86,73,81,83,83,73,83,77,82,86,78,63,180
52,5,65,61,70,65,86,77,58,44,86,71,62,64,193
53,1,96,84,76,81,37,73,81,66,28,96,78,88,187
56,5,74,37,56,63,89,79,60,64,90,79,58,27,187
57,5,69,54,62,65,86,81,60,42,86,69,59,45,192
62,5,75,49,56,64,89,77,62,58,89,76,53,43,186
65,4,79,69,80,84,82,80,77,82,80,80,75,67,174
68,4,93,69,75,83,81,75,90,86,81,93,68,73,170
71,2,83,77,83,88,35,64,92,92,25,77,88,72,171
72,1,77,83,63,78,40,89,58,52,28,78,74,89,188
74,1,77,84,72,80,42,80,83,59,24,79,78,85,184
75,5,66,53,71,69,85,80,71,78,84,65,68,42,174
76,4,87,70,76,82,78,69,81,80,70,89,67,60,172
78,4,80,62,77,77,82,79,74,60,85,83,70,59,182
81,3,76,78,83,82,64,69,76,63,56,77,86,78,183
83,1,76,83,71,79,42,80,82,59,24,78,77,84,184
85,3,74,75,86,84,64,68,78,78,58,74,88,70,180
86,2,89,74,80,86,50,63,87,82,43,86,83,75,175
92,5,72,56,56,53,85,82,71,62,83,75,45,53,183
96,3,68,58,83,87,78,68,87,94,78,64,84,52,165
99,1,73,85,72,79,42,82,74,62,41,77,73,89,188
100,2,76,76,85,85,45,60,77,81,38,74,86,75,177
102,2,90,78,79,88,36,55,94,93,30,86,81,73,169
103,5,78,51,55,62,86,84,65,69,88,83,52,44,186
104,3,72,75,83,89,58,64,90,85,49,68,85,69,174
105,5,52,61,71,67,85,79,55,59,80,54,75,55,190
